http://img.alicdn.com/img/i1/31703846/O1CN015wVKJN1eHWJEAn8F7_!!4611686018427380518-0-saturn_solar.jpg_460x460q90.jpg_.webp,政府补贴至高500元OPPO Reno13 超美小直屏 AI高清实况照片 学生拍照,2358.72,6万+人付款,6万+人付款,全部(7000+),7000,5.0
http://img.alicdn.com/img/i1/31703846/O1CN015wVKJN1eHWJEAn8F7_!!4611686018427380518-0-saturn_solar.jpg_460x460q90.jpg_.webp,政府补贴至高500元OPPO Reno13 超美小直屏 AI高清实况照片 学生拍照,2358.72,6万+人付款,6万+人付款,全部(7000+),7000,5.0
无,【国补立省15%】realme/真我Neo7学生5G智能AI电竞潮流游戏防水新款手机护眼直屏大电池正品官方旗舰店,other,2058.72,800+人付款,800+人付款,全部(100+),100,5.0
无,Samsung/三星 Galaxy Z Flip6 SM-F7410 双卡5G折叠屏AI手机现货,other,3688.00,3人付款,3人付款,0,0,3
无,【政府补贴15%】HONOR/荣耀GT 新款5G智能手机第三代骁龙8芯片AI魔法修图官网正品手机国补,华为,2129.00,900+人付款,900+人付款,全部(100+),100,5.0
无,工厂直销新款正品16G+512G智能手机高清屏双卡全网通5G便宜学生价,other,188.00,15人看过,15人看过,0,0,3
无,新款工厂直销正品16G+512G智能手机高清屏6.8寸双卡便宜全网通5G,other,188.00,100+人看过,100+人看过,0,0,3
无,【政府补贴至高15%】Redmi Note 14 Pro手机红米note小米手机小米官方旗舰店官网新品小米note14pro,小米,1271.02,10万+人付款,10万+人付款,全部(20000+),20000,5.0
无,【6期免息】Huawei/华为畅享70X华为新款手机数码手机正品官方旗舰店智能手机老人机,华为,1899.00,1000+人付款,1000+人付款,全部(200+),200,5.0
无,16GB+1024GB官方正品2025新款全网通5G智能手机电竞游戏学生备用,other,188.00,29人看过,29人看过,0,0,3
http://img.alicdn.com/img/i2/31915589/O1CN01VWAxe31r9odnOknMZ_!!4611686018427387461-0-saturn_solar.jpg_460x460q90.jpg_.webp,当天发!新品 HUAWEI/华为nova13 100W快充前置6000万4K超广角鸿蒙华为,华为,2449.00,800+人付款,800+人付款,0,0,3
https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/2214957993611/O1CN013dDa6C1cXtEGFBsms_!!2214957993611.jpg_460x460q90.jpg_.webp,2025新品opReno13旗舰5G全网通官方果16Promax正品K12X智能手机华,other,588.00,500+人看过,500+人看过,0,0,3
https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/2215639105521/O1CN01uryayw1qefiUccc6B_!!2215639105521.png_460x460q90.jpg_.webp,Huawe/华mAtE70 Pro+2025年鸿蒙新款荣300耀官方旗舰X50 GT手机,other,1058.00,20人付款,20人付款,0,0,3
http://img.alicdn.com/img/i1/14867192/O1CN01esUwDF22zzXcUIN7G_!!4611686018427386616-2-saturn_solar.png_460x460q90.jpg_.webp,国补【政府补贴15%】Redmi Note 14 Pro+手机红米note手机小米手机官方旗舰店官网新品正品note14pro+,小米,1749.00,2人付款,2人付款,0,0,4.0
https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/1114511827/O1CN01RKDyZ51PMoeQq9h4W_!!4611686018427386323-0-item_pic.jpg_460x460q90.jpg_.webp,【政府补贴15%】HONOR/荣耀X60 5G智能手机十面抗摔防水耐磨5800mAh大电池轻薄直屏一亿像素AI影像官方旗舰店,华为,1149.00,8万+人付款,8万+人付款,全部(7000+),7000,5.0
http://img.alicdn.com/img/i2/2843600184/O1CN01eH3LF71DEJuoTgNqg_!!4611686018427381048-0-saturn_solar.jpg_460x460q90.jpg_.webp,【政府补贴15%】iQOO Z9 Turbo 长续航版第三代骁龙8s旗舰芯片6400mAh电池拍照游戏学生性能手机vivo官方正品,vivo,1761.02,3人付款,3人付款,全部(1),1,5.0
https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/1714128138/O1CN01V3hneB29zGDwAq9FS-1714128138.png_460x460q90.jpg_.webp,【政府补贴至高15%】Redmi Note 14 Pro手机红米note小米手机小米官方旗舰店官网新品小米note14pro,小米,1271.02,10万+人付款,10万+人付款,全部(20000+),20000,5.0
http://img.alicdn.com/img/i1/881090092/O1CN01Le2ycf1CYBTjL7wcG_!!4611686018427387436-2-saturn_solar.png_460x460q90.jpg_.webp,vivo Y300i新品长续航大内存大音量抗摔护眼直屏学生手机官网正品,vivo,1499.00,5人付款,5人付款,0,0,3
https://gw.alicdn.com/imgextra/O1CN01qIO8mE1m9kW2AT9mg_!!2380534912-0-picasso.jpg_460x460q90.jpg_.webp,【政府补贴15%叠加优惠380起】联想moto S50 Neo纤薄高清双曲屏老人学生手机应用多开5G摩托罗拉官方智能手机,other,1169.02,5000+人付款,5000+人付款,0,0,3
http://img.alicdn.com/img/i2/14867192/O1CN01mA4Cez22zzXGaPvV4_!!4611686018427386616-0-saturn_solar.jpg_460x460q90.jpg_.webp,【政府补贴15%】HONOR/荣耀X50 5G智能手机大电池官方旗舰店官网正品荣耀手机老人学生备用千元机荣耀,华为,1269.00,13人付款,13人付款,0,0,3
无,【下拉领政府补贴15%】REDMI K80红米k80手机官方旗舰店游戏拍照学生国补智能手机小米手机红米手机redmik80,小米,2458.72,10万+人付款,10万+人付款,0,0,3
无,【政府补贴15%】HONOR/荣耀Play9C 智能5G手机 SGS五星抗跌耐摔认证 5200mAh超能长续航官方旗舰店学生老人机,华为,589.00,2万+人付款,2万+人付款,全部(1000+),1000,5.0
无,【政府补贴15% 24期分期免息】OPPO Find X8 Pro 5G 旗舰手机无影抓拍超轻薄潮汐引擎天玑9400,oppo,4858.72,100+人付款,100+人付款,全部(13),13,5.0
无,【国补立省15%|现货赠蓝牙耳机】realme/真我Neo7学生智能AI电竞潮流游戏防水新款手机大电池正品官方旗舰店,other,2058.72,1万+人付款,1万+人付款,全部(5000+),5000,5.0
无,16GB+1024GB官方正品2025新款全网通5G智能手机电竞游戏学生备用,other,188.00,69人看过,69人看过,0,0,3
无,【政府补贴至高15%】Redmi Note 13 5G手机1亿像素红米note手机小米手机小米官方旗舰店官网新品note13,小米,877.02,10万+人付款,10万+人付款,0,0,3
无,HUAWEI/华为 畅享60S 鸿蒙千元内5G手机,华为,799.00,47人付款,47人付款,全部(13),13,5.0
无,16GB+1024GB官方正品2025新款全网通5G智能手机电竞游戏学生备用,other,188.00,33人看过,33人看过,0,0,3
无,【立即抢购】Redmi Note 13 Pro 2亿像素小米红米note13pro小米官方旗舰店手机旗舰智能机,小米,1075.02,1万+人付款,1万+人付款,0,0,3
无,新款工厂直销正品16G+512G智能手机高清屏6.8寸双卡便宜全网通5G,other,188.00,55人看过,55人看过,0,0,3
无,【政府补贴15%】HONOR/荣耀GT 新款5G智能手机第三代骁龙8芯片AI魔法修图官网正品手机国补,华为,2129.00,900+人付款,900+人付款,0,0,3
无,5G新品/当天发！Hi 畅享70 新款5G鸿蒙5000mAh长续航学生老年人华为智选手机官方旗舰店官网正品pro x s,华为,899.00,40人付款,40人付款,0,0,3
无,16GB+1024GB官方正品2025新款全网通5G智能手机电竞游戏学生备用,other,188.00,20人看过,20人看过,0,0,3
无,【政府补贴至高15%】Redmi Note 14 5G手机红米note手机小米手机小米官方旗舰店官网新品小米note14,小米,1025.92,5万+人付款,5万+人付款,全部(4000+),4000,5.0
无,Samsung/三星 Galaxy Z Flip6 SM-F7410 双卡5G折叠屏AI手机现货,other,3688.00,3人付款,3人付款,0,0,3
无,当天发!送好礼 新款P50 256GB 5G系列拍照游戏学生老年老人机畅玩50华手机为官方旗舰官网正品店 P50pro,other,888.00,100+人付款,100+人付款,全部(22),22,4.0
无,【国补立省15%】realme/真我Neo7学生5G智能AI电竞潮流游戏防水新款手机护眼直屏大电池正品官方旗舰店,other,2058.72,800+人付款,800+人付款,全部(100+),100,5.0
无,新品16GB+1TB 华mAtE 60Pro+新款正品P60官方旗舰Pura70 Pro手机,other,1088.00,500+人看过,500+人看过,0,0,3
无,【政府补贴15%】Apple/苹果 iPhone 16 手机,other,5199.00,1000+人付款,1000+人付款,0,0,3
无,Samsung/三星 Galaxy S23 Ultra SM-S9180全网通5G手机S24Ultra,other,3728.00,100+人付款,100+人付款,0,0,3
无,2025新上市果16Pro max旗舰5G全网通学生Phone官方智能手机正品华,other,658.72,100+人付款,100+人付款,0,0,3
无,2025新品16+1TB荣耀300pro 官方5G旗舰X50GT智能华p70pro畅享手机,华为,1288.00,12人付款,12人付款,0,0,3
无,新款工厂直销正品16G+512G智能手机高清屏6.8寸双卡便宜全网通5G,other,188.00,69人付款,69人付款,0,0,3
无,新品16GB+1TB OPPO  find X8正品国补一加Ace5 Pro官方旗舰手机,oppo,1047.72,200+人看过,200+人看过,0,0,3
无,【6期免息】Huawei/华为畅享70X华为新款手机数码手机正品官方旗舰店智能手机老人机,华为,1899.00,1000+人付款,1000+人付款,全部(200+),200,5.0
无,【政府补贴15%】华为畅享 70X 新品手机巨鲸长续航双曲护眼屏五星超耐摔官方旗舰店鸿蒙曲面屏新款正品畅享70,华为,1749.00,5万+人看过,5万+人看过,全部(40),40,4.5
无,【政府补贴立省500元】Apple/苹果 iPhone 15 国行正品全新未拆封全网通智能苹果手机,other,4398.00,2000+人付款,2000+人付款,全部(73),73,3
无,工厂直销新款正品16G+512G智能手机高清屏双卡全网通5G便宜学生价,other,188.00,62人看过,62人看过,0,0,3
无,HONOR/荣耀300手机智能游戏100W超级快充荣耀绿洲护眼屏百亿补贴,华为,1679.00,4000+人付款,4000+人付款,0,0,3
无,【政府补贴手机】OPPO一加 Ace 5 新品学生游戏性能手机第三代骁龙 8 一加官方旗舰店官网正品AI智能5g手机,oppo,2299.00,5万+人付款,5万+人付款,全部(5000+),5000,5.0
无,16GB+1024GB官方正品2025新款全网通5G智能手机电竞游戏学生备用,other,188.00,16人看过,16人看过,0,0,3
无,16GB+1024GB官方正品2025新款全网通5G智能手机电竞游戏学生备用,other,188.00,21人看过,21人看过,全部,,4.4
无,【国补立省15%|6期免息】Realme真我Neo7x手机学生5G智能AI电竞游戏防水新款护眼直屏大电池正品官方旗舰店,other,1299.00,5万+人看过,5万+人看过,全部(48),48,5.0
无,【国补立省15%|6期免息】realme真我Neo7SE学生5G智能AI电竞潮流游戏防水新款手机护眼大电池正品官方旗舰店,other,1799.00,5万+人看过,5万+人看过,0,0,3
无,16GB+1024GB官方正品2025新款全网通5G智能手机电竞游戏学生备用,other,188.00,16人看过,16人看过,0,0,3
http://img.alicdn.com/img/i2/881090092/O1CN01A4MjML1CYBTkdRakk_!!4611686018427387436-2-saturn_solar.png_460x460q90.jpg_.webp,vivo Y300i新品长续航大内存大音量抗摔护眼直屏学生手机官网正品,vivo,1499.00,5人付款,5人付款,0,0,3
https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/3429745547/O1CN01VqoqRs1qqZtQPc088_!!3429745547.png_460x460q90.jpg_.webp,Sony/索尼 XQ-BQ72 X5III 马克兔3代 骁龙888手机 120HZ 三网电信,other,399.00,1000+人付款,1000+人付款,0,0,3
http://img.alicdn.com/img/i2/14867192/O1CN01MV3Est22zzXVGYvw9_!!4611686018427386616-0-saturn_solar.jpg_460x460q90.jpg_.webp,国补【政府补贴15%】Redmi Note 14 Pro+手机红米note手机小米手机官方旗舰店官网新品正品note14pro+,小米,1749.00,2,能良数码官方旗舰店,0,0,3
https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/1114511827/O1CN01RKDyZ51PMoeQq9h4W_!!4611686018427386323-0-item_pic.jpg_460x460q90.jpg_.webp,【政府补贴15%】HONOR/荣耀X60 5G智能手机十面抗摔防水耐磨5800mAh大电池轻薄直屏一亿像素AI影像官方旗舰店,华为,1149.00,80000,荣耀官方旗舰店,0,0,3
https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/2217587502021/O1CN010N84pP1QnfTUcXEsu_!!4611686018427382725-2-item_pic.png_460x460q90.jpg_.webp,HONOR/荣耀300手机智能游戏100W超级快充荣耀绿洲护眼屏百亿补贴,华为,1679.00,4000,百亿补贴官方精选,全部(300+),300,3
http://img.alicdn.com/img/i3/2380534912/O1CN01TWFk9L1m9kUbxRL9G_!!2380534912-0-alimamacc.jpg_460x460q90.jpg_.webp,政府补贴15%叠加优惠380起联想moto S50 Neo纤薄高清双曲屏老人学生手,other,1169.02,5000,moto摩托罗拉旗舰店,全部(900+),900,5.0
https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/2200766936524/O1CN01bileD91y42yOc4INi_!!4611686018427385292-0-item_pic.jpg_460x460q90.jpg_.webp,【国补立省15%|6期免息】Realme真我Neo7x手机学生5G智能AI电竞游戏防水新款护眼直屏大电池正品官方旗舰店,other,1299.00,50000,realme官方旗舰店,0,0,3
http://img.alicdn.com/img/i1/881090092/O1CN01Le2ycf1CYBTjL7wcG_!!4611686018427387436-2-saturn_solar.png_460x460q90.jpg_.webp,vivo Y300i新品长续航大内存大音量抗摔护眼直屏学生手机官网正品,vivo,1499.00,5,vivo手机官方旗舰店,0,0,5.0
https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/2200766936524/O1CN01SvE0X61y42yQZWJof_!!4611686018427385292-0-item_pic.jpg_460x460q90.jpg_.webp,【国补立省15%|6期免息】realme真我Neo7SE学生5G智能AI电竞潮流游戏防水新款手机护眼大电池正品官方旗舰店,other,1799.00,50000,realme官方旗舰店,0,0,3
http://img.alicdn.com/img/i1/14867192/O1CN01Bg8p7j22zzXGINnOD_!!4611686018427386616-0-saturn_solar.jpg_460x460q90.jpg_.webp,【政府补贴15%】HONOR/荣耀X50 5G智能手机大电池官方旗舰店官网正品荣耀手机老人学生备用千元机荣耀,华为,1269.00,13,能良数码官方旗舰店,0,0,3
http://img.alicdn.com/img/i4/14867192/O1CN01jYAHgL22zzXZb9Lvd_!!4611686018427386616-2-saturn_solar.png_460x460q90.jpg_.webp,国补【政府补贴15%】Redmi Note 14 Pro+手机红米note手机小米手机官方旗舰店官网新品正品note14pro+,小米,1749.00,2,能良数码官方旗舰店,0,0,4.0
http://img.alicdn.com/img/i2/31915589/O1CN01VWAxe31r9odnOknMZ_!!4611686018427387461-0-saturn_solar.jpg_460x460q90.jpg_.webp,当天发!新品 HUAWEI/华为nova13 100W快充前置6000万4K超广角鸿蒙华为,华为,2449.00,800,创宇嘉汇数码专营店,0,0,3
http://img.alicdn.com/img/i2/31915589/O1CN01VWAxe31r9odnOknMZ_!!4611686018427387461-0-saturn_solar.jpg_460x460q90.jpg_.webp,当天发!新品 HUAWEI/华为nova13 100W快充前置6000万4K超广角鸿蒙华为,华为,2449.00,800,创宇嘉汇数码专营店,0,0,3
https://gw.alicdn.com/imgextra/O1CN01NdT2RG2EjktJVA3YQ_!!1695308781-0-yinheaigc.jpg_460x460q90.jpg_.webp,【政府补贴至高15% | 3期免息】Meizu魅族Lucky08幸运手机新品官方旗舰店高通骁龙1.5K旗舰智能AI学生拍照,other,1299.00,3000,魅族官方旗舰店,0,0,3
https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/1114511827/O1CN01RKDyZ51PMoeQq9h4W_!!4611686018427386323-0-item_pic.jpg_460x460q90.jpg_.webp,【政府补贴15%】HONOR/荣耀X60 5G智能手机十面抗摔防水耐磨5800mAh大电池轻薄直屏一亿像素AI影像官方旗舰店,华为,1149.00,80000,荣耀官方旗舰店,全部(7000+),7000,5.0
http://img.alicdn.com/img/i1/14867192/O1CN01esUwDF22zzXcUIN7G_!!4611686018427386616-2-saturn_solar.png_460x460q90.jpg_.webp,国补【政府补贴15%】Redmi Note 14 Pro+手机红米note手机小米手机官方旗舰店官网新品正品note14pro+,小米,1749.00,2,能良数码官方旗舰店,0,0,3
https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/2256022143/O1CN01lPlHKC1RhXoCTH1IE_!!4611686018427382399-2-item_pic.png_460x460q90.jpg_.webp,【政府补贴手机】OPPO一加 Ace 5 新品学生游戏性能手机第三代骁龙 8 一加官方旗舰店官网正品AI智能5g手机,oppo,2299.00,50000,一加官方旗舰店,全部(5000+),5000,5.0
http://img.alicdn.com/img/i3/2380534912/O1CN01TWFk9L1m9kUbxRL9G_!!2380534912-0-alimamacc.jpg_460x460q90.jpg_.webp,政府补贴15%叠加优惠380起联想moto S50 Neo纤薄高清双曲屏老人学生手,other,1169.02,5000,moto摩托罗拉旗舰店,0,0,3
https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2217587502021/O1CN010N84pP1QnfTUcXEsu_!!4611686018427382725-2-item_pic.png_460x460q90.jpg_.webp,HONOR/荣耀300手机智能游戏100W超级快充荣耀绿洲护眼屏百亿补贴,华为,1679.00,4000,百亿补贴官方精选,0,0,3
http://img.alicdn.com/img/i1/881090092/O1CN01Le2ycf1CYBTjL7wcG_!!4611686018427387436-2-saturn_solar.png_460x460q90.jpg_.webp,vivo Y300i新品长续航大内存大音量抗摔护眼直屏学生手机官网正品,vivo,1499.00,5,vivo手机官方旗舰店,0,0,5.0
https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/2200766936524/O1CN01bileD91y42yOc4INi_!!4611686018427385292-0-item_pic.jpg_460x460q90.jpg_.webp,【国补立省15%|6期免息】Realme真我Neo7x手机学生5G智能AI电竞游戏防水新款护眼直屏大电池正品官方旗舰店,other,1299.00,50000,realme官方旗舰店,0,0,3
https://img.alicdn.com/imgextra/i3/2226474156/O1CN01QMSSez1gZV5Ias3B0_!!2226474156-0-alimamacc.jpg_460x460q90.jpg_.webp,HUAWEI/华为 畅享60S 鸿蒙千元内5G手机,华为,799.00,47,蓝泊尔数码专营店,0,0,3
无,【国补立省15%|6期免息】realme真我Neo7SE学生5G智能AI电竞潮流游戏防水新款手机护眼大电池正品官方旗舰店,other,1799.00,50000,realme官方旗舰店,全部(200+),200,5.0
无,【政府补贴15%】华为畅享 70X 新品手机巨鲸长续航双曲护眼屏五星超耐摔官方旗舰店鸿蒙曲面屏新款正品畅享70,华为,1749.00,50000,苏宁易购官方旗舰店,全部(40),40,4.5
无,【政府补贴15%】HONOR/荣耀X50 5G智能手机大电池官方旗舰店官网正品荣耀手机老人学生备用千元机荣耀,华为,1269.00,13,能良数码官方旗舰店,0,0,3
无,【政府补贴至高15%】Redmi Note 14 Pro手机红米note小米手机小米官方旗舰店官网新品小米note14pro,小米,1271.02,100000,小米官方旗舰店,全部(20000+),20000,5.0
无,【下拉领政府补贴15%】REDMI K80红米k80手机官方旗舰店游戏拍照学生国补智能手机小米手机红米手机redmik80,小米,2458.72,100000,小米官方旗舰店,0,0,3
http://img.alicdn.com/img/i2/31915589/O1CN01VWAxe31r9odnOknMZ_!!4611686018427387461-0-saturn_solar.jpg_460x460q90.jpg_.webp,当天发!新品 HUAWEI/华为nova13 100W快充前置6000万4K超广角鸿蒙华为,华为,2449.00,800,创宇嘉汇数码专营店,全部(100+),100,4.0
https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2217587502021/O1CN010N84pP1QnfTUcXEsu_!!4611686018427382725-2-item_pic.png_460x460q90.jpg_.webp,HONOR/荣耀300手机智能游戏100W超级快充荣耀绿洲护眼屏百亿补贴,华为,1679.00,4000,百亿补贴官方精选,全部(300+),300,3
https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/1114511827/O1CN01RKDyZ51PMoeQq9h4W_!!4611686018427386323-0-item_pic.jpg_460x460q90.jpg_.webp,【政府补贴15%】HONOR/荣耀X60 5G智能手机十面抗摔防水耐磨5800mAh大电池轻薄直屏一亿像素AI影像官方旗舰店,华为,1149.00,80000,荣耀官方旗舰店,全部(7000+),7000,5.0
http://img.alicdn.com/img/i1/31703846/O1CN015wVKJN1eHWJEAn8F7_!!4611686018427380518-0-saturn_solar.jpg_460x460q90.jpg_.webp,政府补贴至高500元OPPO Reno13 超美小直屏 AI高清实况照片 学生拍照,oppo,2358.72,60000,OPPO官方旗舰店,0,0,3
https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2200766936524/O1CN01bileD91y42yOc4INi_!!4611686018427385292-0-item_pic.jpg_460x460q90.jpg_.webp,【国补立省15%|6期免息】Realme真我Neo7x手机学生5G智能AI电竞游戏防水新款护眼直屏大电池正品官方旗舰店,other,1299.00,200,realme官方旗舰店,0,0,3
http://img.alicdn.com/img/i4/14867192/O1CN01jYAHgL22zzXZb9Lvd_!!4611686018427386616-2-saturn_solar.png_460x460q90.jpg_.webp,国补【政府补贴15%】Redmi Note 14 Pro+手机红米note手机小米手机官方旗舰店官网新品正品note14pro+,小米,1749.00,2,能良数码官方旗舰店,0,0,3
https://gw.alicdn.com/imgextra/O1CN01yyLMtb29zGDw9PKfS_!!1714128138.jpg_460x460q90.jpg_.webp,【下拉领政府补贴15%】REDMI K80红米k80手机官方旗舰店游戏拍照学生国补智能手机小米手机红米手机redmik80,小米,2458.72,100000,小米官方旗舰店,全部(20000+),20000,5.0
https://img.alicdn.com/imgextra/i2/2226474156/O1CN01RaUlE11gZV1q1G7ZJ_!!2226474156-0-alimamacc.jpg_460x460q90.jpg_.webp,爆款推荐/全国联保 60 Plus 5G手机新款长续航学生老人机,other,1128.00,24,蓝泊尔数码专营店,全部(4),4,5.0
https://gw.alicdn.com/imgextra/O1CN01NdT2RG2EjktJVA3YQ_!!1695308781-0-yinheaigc.jpg_460x460q90.jpg_.webp,【政府补贴至高15% | 3期免息】Meizu魅族Lucky08幸运手机新品官方旗舰店高通骁龙1.5K旗舰智能AI学生拍照,other,1299.00,3000,魅族官方旗舰店,0,0,3
http://img.alicdn.com/img/i4/58830335/O1CN01fsTOrm1ELTilkg6xx_!!4611686018427383295-0-saturn_solar.jpg_460x460q90.jpg_.webp,5G新品/当天发！Hi 畅享70Pro 5G鸿蒙2024年新款智能AI学生老年华为智选手机官方旗舰正品店官网 70X/70S,华为,1299.00,39,宏达鑫辉数码专营店,全部(12),12,4.0
无,【国补立省15%|6期免息】realme真我Neo7SE学生5G智能AI电竞潮流游戏防水新款手机护眼大电池正品官方旗舰店,other,1799.00,1000,realme官方旗舰店,0,0,3
无,【政府补贴15%叠加优惠380起】联想moto S50 Neo纤薄高清双曲屏老人学生手机应用多开5G摩托罗拉官方智能手机,other,1169.02,5000,moto摩托罗拉旗舰店,0,0,3
无,六期免息 现货速发送豪礼Redmi 红米Note 14 Pro手机红米note14pro小,小米,1269.00,400,热图数码专营店,0,0,3
无,【政府补贴手机】OPPO一加 Ace 5 新品学生游戏性能手机第三代骁龙 8 一加官方旗舰店官网正品AI智能5g手机,oppo,2299.00,50000,一加官方旗舰店,0,0,3
无,【政府补贴15%】华为畅享 70X 新品手机巨鲸长续航双曲护眼屏五星超耐摔官方旗舰店鸿蒙曲面屏新款正品畅享70,华为,1749.00,400,苏宁易购官方旗舰店,全部(40),40,4.5
无,【政府补贴至高15%】Redmi Note 14 Pro手机红米note小米手机小米官方旗舰店官网新品小米note14pro,小米,1271.02,100000,小米官方旗舰店,0,0,3
无,【政府补贴15%】HONOR/荣耀Play9T智能手机 长续航超抗摔高品质 官方旗舰正品游戏拍照商务学生老人机,华为,869.00,79,能良数码官方旗舰店,全部(5),5,4.0
无,16GB+1024GB官方正品2025新款全网通5G智能手机电竞游戏学生备用,other,188.00,9,华天数码科技,0,0,3
无,分期免息/顺丰速发 Hi畅享60S 鸿蒙5G手机2024年新款智能AI学生老年华为智选手机官方旗舰正品店官网70X 70S,华为,799.00,47,蓝泊尔数码专营店,全部(13),13,5.0
无,16GB+1024GB官方正品2025新款全网通5G智能手机电竞游戏学生备用,other,188.00,9,华天数码科技,0,0,3
无,【政府补贴至高15%】Redmi Note 14 5G手机红米note手机小米手机小米官方旗舰店官网新品小米note14,小米,1025.92,50000,小米官方旗舰店,全部(4000+),4000,5.0
无,国家补贴至高立省15%vivo Y300新品长续航大内存大音量抗摔护眼直屏学,vivo,1049.00,5000,vivo手机官方旗舰店,全部(600+),600,5.0
无,16GB+1024GB官方正品2025新款全网通5G智能手机电竞游戏学生备用,other,188.00,27,民生数码科技,0,0,3
无,【政府补贴至高15%】Redmi Note 13 5G手机1亿像素红米note手机小米手机小米官方旗舰店官网新品note13,小米,877.02,100000,小米官方旗舰店,全部(20000+),20000,5.0
无,【政府补贴15%】HONOR/荣耀Play9C 智能5G手机 SGS五星抗跌耐摔认证 5200mAh超能长续航官方旗舰店学生老人机,华为,589.00,20000,荣耀官方旗舰店,0,0,3
无,2025新款！Huawei/华为nova11SE 一亿像素66W快充手机,华为,1288.00,77,蓝泊尔数码专营店,全部(8),8,5.0
无,Sony/索尼 XQ-BQ72 X5III 马克兔3代 骁龙888手机 120HZ 三网电信,other,399.00,1000,锋星优品,0,0,3
无,HONOR/荣耀X60 Pro 智能手机绿洲护眼屏防水耐磨百亿补贴官方正品,华为,1449.00,10000,百亿补贴官方精选,全部(1000+),1000,3
无,【国补立省15%|现货赠蓝牙耳机】realme/真我Neo7学生智能AI电竞潮流游戏防水新款手机大电池正品官方旗舰店,other,2058.72,10000,realme官方旗舰店,0,0,3
无,【政府补贴15%】HONOR/荣耀X50 5G智能手机大电池官方旗舰店官网正品荣耀手机老人学生备用千元机荣耀,华为,1269.00,13,能良数码官方旗舰店,全部(1),1,4.0
无,六期免息 现货速发送豪礼Redmi Note 14 Pro+手机note14pro小米官方官,小米,1749.00,300,热图数码专营店,全部(200+),200,4.0
无,【下拉领国家补贴15%】vivo iQOO Neo9 手机第二代骁龙8官方旗舰店官网正品智能5g学生游戏手机,vivo,1761.02,90000,iQOO手机官方旗舰店,全部(30000+),30000,5.0
无,【政府补贴至高15%】Redmi Note 14 Pro+手机红米note小米手机小米官方旗舰店官网新品小米note14pro+,小米,1760.92,90000,小米官方旗舰店,全部(20000+),20000,5.0
无,【国补立省15%】vivo iQOO Z9 Turbo长续航版新品骁龙学生大电池国补手机专区入口iQOO官方旗舰店,vivo,1761.02,6000,iQOO手机官方旗舰店,全部(500+),500,5.0
无,vivo Y300i新品长续航大内存大音量抗摔护眼直屏学生手机官网正品,vivo,1499.00,5,vivo手机官方旗舰店,0,0,3
无,Huawei/华为 畅享 50原装正品全网通老人学生备用大音量智能手机,华为,451.72,7,胶已人靓机严选,0,0,5.0
无,16GB+1024GB官方正品2025新款全网通5G智能手机电竞游戏学生备用,other,188.00,4,民生数码科技,0,0,3
无,【国补立省15%】realme/真我Neo7学生5G智能AI电竞潮流游戏防水新款手机护眼直屏大电池正品官方旗舰店,other,2058.72,800,realme官方旗舰店,全部(100+),100,5.0
无,【政府补贴至高15%】小米Civi 4 Pro新品手机小米Civi4pro官方旗舰店正品徕卡影像高通第三代骁龙8s国补手机,小米,2558.72,30000,小米官方旗舰店,全部(3000+),3000,5.0
无,【国家补贴15%】华为畅享 70X 新品手机巨鲸长续航 双曲护眼屏 五星超耐摔 华为官方旗舰店鸿蒙曲面屏手机,华为,1749.00,30000,华为官方旗舰店,全部(3000+),3000,5.0
无,【政府补贴15%】Apple/苹果 iPhone 16 手机,other,5199.00,1000,苏宁易购官方旗舰店,0,0,3
无,【新品上市】OPPO A3i 超硬核抗摔架构学生智能拍照手机百亿补贴,oppo,747.00,400,百亿补贴官方精选,0,0,3
无,【立即抢购】Redmi Note 13 Pro 2亿像素小米红米note13pro小米官方旗舰店手机旗舰智能机,小米,1075.02,10000,小米官方旗舰店,全部(1000+),1000,5.0
无,【立即抢购】Redmi 14C手机新品上市智能官方旗舰店红米小米大音老年备用机老人百元机14c,小米,494.01,100000,小米官方旗舰店,全部(7000+),7000,5.0
无,【政府补贴15%】HONOR/荣耀X60 Pro 5G智能手机6600mAh青海湖电池绿洲护眼屏AI 抗摔防水 拍照智能官方旗舰店,华为,1449.00,40000,荣耀官方旗舰店,全部(4000+),4000,5.0
